fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
-0.5249818611915246,0.9898822937382648,-1.3752714572572395,-0.6244063743573123,-0.2004950358440545,-0.4749057637785867,-0.3588711306877327,0.6548400172915478,1.2850118648058988,-0.6120302857430301,-0.9842445362500175,5
-0.29027542897412006,2.008229420043006,-1.3752714572572395,0.554793104946918,1.1376927615338375,0.9492089902048158,0.7243299907169188,0.09968430187556408,-0.8005714401629462,0.2869854542974775,-0.6049476678052834,5
-0.29027542897412006,1.3293313358398455,-1.1645046989762393,0.04942189953081902,0.7727324531580485,-0.0680158340690431,0.2976143974362986,0.2107154449587485,-0.3969101553302687,0.06223151928735038,-0.6049476678052834,5
1.7047292448738212,-1.386261000972798,1.5754631586767638,-0.6244063743573123,-0.261321753906686,0.13542913078572866,0.49456005587350793,0.7658711603747322,-1.0696789633847332,-0.4621943290696129,-0.6049476678052834,6
-0.5249818611915246,0.9898822937382648,-1.3752714572572395,-0.6244063743573123,-0.2004950358440545,-0.4749057637785867,-0.3588711306877327,0.6548400172915478,1.2850118648058988,-0.6120302857430301,-0.9842445362500175,5
-0.5249818611915246,0.7635829323372115,-1.3752714572572395,-0.792863442829345,-0.261321753906686,-0.27146079892381486,-0.1619254722505233,0.6548400172915478,1.2850118648058988,-0.6120302857430301,-0.9842445362500175,5
-0.23159882091976852,0.42413389023563075,-1.0591213198357392,-1.1297775797734106,-0.6262820622824741,-0.0680158340690431,0.4617357794673064,-0.12237798429086638,-0.12780263210848164,-1.36121006911012,-0.9842445362500175,5
-0.5836584692458762,0.707008091986948,-1.3752714572572395,-1.8036058536615422,-0.8695889345330001,-0.0680158340690431,-0.785586723968353,-1.1216582720395878,0.4776892951405407,-1.2862920907734114,-0.4152992335829173,7
-0.29027542897412006,0.31098420953510386,-1.2698880781167394,-0.4559493058852793,-0.38297519003194896,-0.6783507286333584,-0.8840595531869577,0.09968430187556408,0.2758586527241989,-0.5371123074063219,-0.8894203191388343,7
-0.9357181175719833,0.31098420953510386,-0.953737940695239,-0.792863442829345,1.0768660434712052,-0.0680158340690431,0.6586814379045157,-0.3999558419988274,-0.26235639371937514,-0.7618662424164482,-1.1738929704723853,5
-1.581160806169847,0.508996150761026,-1.3752714572572395,-1.1297775797734106,0.5902522989701549,0.033706648358342785,0.4617357794673064,-1.288204986664426,1.7559500304440276,-0.9117021990898663,-0.5101234506941004,5
0.1204608274063386,-1.386261000972798,1.5754631586767638,-0.792863442829345,0.7727324531580485,1.9664338144786748,1.906003941340175,0.1551998734171563,-0.12780263210848164,0.81141130265444,0.058821851972999786,7
-0.5249818611915246,0.3675590498853673,-0.953737940695239,3.5870203374435103,0.40777214478225954,-0.983518175915516,-0.5229925127187405,0.4327777311251173,0.41041241433509246,-1.0615381557632844,-1.3635414046947514,4
0.3551672596237437,-1.7257100430743786,1.153929642114763,-0.792863442829345,-0.13966831778142302,1.3560989199143594,0.49456005587350793,0.09968430187556408,0.4776892951405407,-0.8367842207531573,-0.9842445362500175,6
-0.4076286450828226,-0.7639377571199005,0.2581709194205121,0.04942189953081902,0.1644652725317336,0.745764025350044,0.8556270963417252,0.8769023034579166,1.352288745611347,0.06223151928735038,-0.6997718849164682,5
-0.23159882091976852,-0.5376383957188471,-0.26874597628198843,-1.1297775797734106,1.6243065060348885,-0.5766282462059725,-0.260398301469128,-0.011346841207620329,-1.002402082579288,2.0100989560417837,-0.8894203191388343,5
0.1204608274063386,-0.19818935361726664,-0.795662871984489,0.04942189953081902,0.2861187086569974,-0.6783507286333584,0.7243299907169188,0.09968430187556408,-1.002402082579288,-0.8367842207531573,-0.9842445362500175,5
-0.8183649014632807,-0.7073629167696371,-0.6375878032737387,0.21787896800285203,0.3469454267196289,0.5423190604952722,-0.1619254722505233,0.09968430187556408,0.7467968183623277,-0.0876044373860677,-0.6997718849164682,6
-1.1704245497893884,-0.7639377571199005,-0.5322044241332387,-1.4666917167174767,0.04281183640647145,-0.4749057637785867,-0.7199381711559498,-0.6220181281651962,0.1413048911133054,-0.6120302857430301,-1.0790687533612005,5
-0.4076286450828226,-0.650788076419374,-0.11067090757123826,-0.792863442829345,0.04281183640647145,-1.1869631407702879,-1.1138294880303685,-0.23340912737405078,-0.26235639371937514,-0.38727635073290384,-0.8894203191388343,5
